idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,9.31,9.31,2,2,0,1,20
2,2.0,0,0,11.44,11.44,1,3,0,0,20
3,3.0,0,0,15.37,15.37,2,3,0,2,20
4,4.0,0,0,13.43,13.43,1,4,0,0,20
5,5.0,0,0,5.56,5.56,1,2,0,0,20
6,6.0,0,0,19.19,19.19,1,6,0,0,20
7,7.0,0,0,20.36,20.36,1,6,0,1,20
8,8.0,0,0,23.59,23.59,1,3,0,3,20
9,9.0,0,0,12.3,12.3,1,2,0,2,20
10,10.0,0,0,6.72,6.72,1,1,0,0,20
11,11.0,0,0,11.3,11.3,1,2,0,3,20
12,12.0,0,0,19.61,19.61,1,3,0,4,20
13,13.0,0,0,23.77,23.77,2,4,0,4,20
14,14.0,0,0,17.01,17.01,1,4,0,1,20
15,15.0,0,0,18.64,18.64,1,5,0,0,20
16,16.0,0,0,17.01,17.01,1,4,0,2,20
17,17.0,0,0,14.73,14.73,1,3,0,1,20
18,18.0,0,0,5.18,5.18,1,1,0,1,20
19,19.0,0,0,14.59,14.59,1,2,0,4,20
20,20.0,0,0,23.53,23.53,1,5,0,1,20
21,21.0,0,0,20.44,20.44,1,5,0,2,20
22,22.0,0,0,18.72,18.72,1,4,0,3,20
23,23.0,0,0,20.11,20.11,1,5,0,3,20
24,24.0,0,0,9.81,9.81,1,1,0,2,20
25,25.0,0,0,23.46,23.46,1,5,0,4,20
